rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
163,"spotify:track:7uL1ZsdxI8l4sgEsgCmTlG","La Arrolladora Banda El Limón De Rene Camacho","Entre Beso Y Beso","UMLE - Disa",33,158,75,"438853"
164,"spotify:track:0mAGeks6ns4FZWBPkjD9HR","KURT","La Mujer Perfecta","Universal Music Mexico",31,182,37,"434354"
165,"spotify:track:5fLOkcGJ6fGNyOGPlG07cK","Alta Consigna","Culpable Tu","Rancho Humilde",57,168,122,"434054"
166,"spotify:track:4zpw2XwVLml02gTUVtlGY4","Aldo Trujillo","Todos Hablan, Nada Saben","GodKing Records under exclusive license to DashGo",166,173,5,"430176"
167,"spotify:track:4Ft0391aLVNtCPPseh98lp","Sebastian Yatra","Traicionera","UMLE - Latino",6,175,122,"428274"
168,"spotify:track:48yFrzTcnTCklWL9PRVZJj","Cartel De Santa","Leve","Babilonia Music, S.A. De C.V.",25,171,121,"427849"
169,"spotify:track:3VHtIuKm8MvOTo81Usu2f5","El de La Guitarra","A Lo Lejos Me Veran","Rancho Humilde",84,163,43,"427676"
170,"spotify:track:1KSqYYJFyfTecXFk9M0prc","Wisin, Ozuna","Escápate Conmigo (feat. Ozuna)","Sony Music Latin",3,181,109,"424472"
171,"spotify:track:66NNoydhDCKHjBZjO4OnNm","Los Ángeles Azules, Ximena Sariñana","Mis Sentimientos","Promotodo Mexico",115,-1,7,"423290"
172,"spotify:track:2FY7b99s15jUprqC0M5NCT","Imagine Dragons","Natural","Kid Ina Korner / Interscope",26,164,37,"422733"
173,"spotify:track:5JaMGjY9Ltvo9CFQfmUdYW","Banda MS de Sergio Lizárraga","Mi Razón De Ser","UMLE - Disa",125,183,57,"422482"
174,"spotify:track:4XC7YfQYxDuUa7I287yeWw","Cardenales De Nuevo León","Belleza De Cantina","Universal Music Mexico",172,-1,3,"422459"
175,"spotify:track:4NGbpyKrKMlJX4kP8iTQFJ","Noriel, Manuel Turizo","No Te Hagas la Loca","Sony Music Latin/Ganda Entertainment",175,-1,1,"421704"
176,"spotify:track:1mlGScrDQqHqmhdIqE8MmA","Morat, Juanes","Besos En Guerra","Universal Music Spain S.L.",38,174,77,"421663"
177,"spotify:track:1b2hnkOJVVEereFRweGX51","Los Plebes del Rancho de Ariel Camacho","Según Tus Labios","JG Music",129,177,28,"421649"
178,"spotify:track:3T5QSIgoaPIh07SwixRDp7","Lunay, Lyanno, Anuel AA, Brytiago, Alex Rose","A Solas - Remix","La Familia",118,180,18,"421232"
179,"spotify:track:0JcNysfWVWaMS7R6vzGB2k","Carlos Vives, Sebastian Yatra","Robarte un Beso","Sony Music Latin",7,176,91,"421066"
180,"spotify:track:1xeLSOaNvDg68FGjIkJxkU","Cartel De Santa","Pollo y Conejo","Babilonia Music, S.A. De C.V.",27,167,40,"420302"
181,"spotify:track:1m69ELEgE6k5ZWsap40ozt","Ozuna","Se Preparó","VP Records Corp/Dimelo Vi",1,179,89,"419552"
182,"spotify:track:1O18MtSAMUk7JfAVB8gGzs","Banda MS de Sergio Lizárraga","Háblame De Ti","Lizos Music",117,190,45,"417777"
